"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 20 17:33:25 WIB 2024","Mon May 20 17:33:26 WIB 2024","812","","Login Feature: User successfully login with valid credentials","","","","Given I open Kasir Demo website",""
"passed","Mon May 20 17:33:28 WIB 2024","Mon May 20 17:33:28 WIB 2024","1","","add Category Feature: User successfully logs in with valid credentials","","","","",""
"passed","Mon May 20 17:33:30 WIB 2024","Mon May 20 17:33:30 WIB 2024","0","","add Category Feature: User successfully add Category","","","","",""
"passed","Mon May 20 17:33:26 WIB 2024","Mon May 20 17:33:27 WIB 2024","893","","Login Feature: User successfully login with valid credentials","","","","When I login with valid username and password",""
"passed","Mon May 20 17:33:28 WIB 2024","Mon May 20 17:33:28 WIB 2024","1","","Login Feature: User successfully login with valid credentials","","","","",""
"passed","Mon May 20 17:33:29 WIB 2024","Mon May 20 17:33:30 WIB 2024","644","","add Category Feature: User successfully add Category","","","","Then I should be successfully add Category",""
"passed","Mon May 20 17:33:27 WIB 2024","Mon May 20 17:33:28 WIB 2024","1067","","Login Feature: User successfully login with valid credentials","","","","Then I should be login successfully",""
"passed","Mon May 20 17:33:29 WIB 2024","Mon May 20 17:33:29 WIB 2024","114","","add Category Feature: User successfully add Category","","","","Given I Click button add",""
"passed","Mon May 20 17:33:29 WIB 2024","Mon May 20 17:33:29 WIB 2024","13","","add Category Feature: User successfully add Category","","","","Then I should move to page Category",""
"passed","Mon May 20 17:33:25 WIB 2024","Mon May 20 17:33:26 WIB 2024","757","","add Category Feature: User successfully logs in with valid credentials","","","","Given I open KasirDemo website",""
"passed","Mon May 20 17:33:27 WIB 2024","Mon May 20 17:33:28 WIB 2024","1072","","add Category Feature: User successfully logs in with valid credentials","","","","Then I should be logged in successfully",""
"passed","Mon May 20 17:33:29 WIB 2024","Mon May 20 17:33:29 WIB 2024","520","","add Category Feature: User successfully add Category","","","","When I input name and description",""
"passed","Mon May 20 17:33:26 WIB 2024","Mon May 20 17:33:27 WIB 2024","917","","add Category Feature: User successfully logs in with valid credentials","","","","When I login with valid credential",""
"passed","Mon May 20 17:33:28 WIB 2024","Mon May 20 17:33:29 WIB 2024","285","","add Category Feature: User successfully add Category","","","","When I Click button Category",""
"passed","Mon May 20 17:33:28 WIB 2024","Mon May 20 17:33:28 WIB 2024","256","","add Category Feature: User successfully add Category","","","","Given I In KasirDemo dashboard",""
